size,waist_min_cm,waist_max_cm,hip_min_cm,hip_max_cm,length_30_min_cm,length_30_max_cm,length_32_min_cm,length_32_max_cm,length_34_min_cm,length_34_max_cm
25,64,67,84,86,75,77,79,81,83,85
26,67,70,86,88,75,77,79,81,83,85
27,70,73,88,90,76,78,80,82,84,86
28,73,75,90,92,76,78,80,82,84,86
29,75,78,92,94,77,79,81,83,85,87
30,78,81,94,97,77,79,81,83,85,87
31,81,84,97,99,77,79,81,83,85,87
32,84,87,99,101,79,80,82,84,86,88
33,87,89,101,103,79,80,82,84,86,88
34,89,92,103,105,79,80,82,84,86,88
36,94,98,106,109,79,81,83,85,87,89
38,100,104,110,113,79,81,83,85,87,89
40,106,110,114,117,79,81,83,85,87,89
42,112,116,118,121,80,82,84,86,88,90
44,118,122,122,125,80,82,84,86,88,90
