size,waist_min_cm,waist_max_cm,seat_min_cm,seat_max_cm,thigh_min_cm,thigh_max_cm
26,67.31,68.58,82.55,83.82,52.07,53.34
27,69.85,71.12,85.09,86.36,53.34,54.61
28,72.39,73.66,87.63,88.90,54.61,55.88
29,74.93,76.20,90.17,91.44,55.88,57.15
30,77.47,78.74,92.71,93.98,57.15,58.42
31,80.01,81.28,95.25,96.52,58.42,59.69
32,82.55,83.82,97.79,99.06,59.69,60.96
33,85.09,86.36,100.33,101.60,58.42,62.23
34,87.63,88.90,102.87,104.14,60.96,63.50
35,90.17,91.44,105.41,106.68,63.50,66.04
36,92.71,95.25,107.95,110.49,66.04,68.58
38,97.79,100.33,113.03,115.57,68.58,71.12
40,102.87,105.41,118.11,120.65,69.22,71.75
42,107.95,110.49,123.19,125.73,71.12,73.66
44,113.03,115.57,128.27,130.81,73.03,75.56
46,118.11,120.65,133.35,135.89,74.93,77.47
48,123.19,125.73,138.43,140.97,76.84,79.38
50,128.27,130.81,143.51,146.05,78.74,81.28
52,133.35,135.89,148.59,151.13,80.64,83.19
54,138.43,140.97,153.67,156.21,82.55,85.09
56,143.51,146.05,158.75,161.29,84.45,87.63
58,148.59,151.13,163.83,166.37,85.09,88.27
60,153.67,156.21,168.91,171.45,88.27,91.44
